,open_time,liquidation_long,liquidation_short,oi,top_ls_account,top_ls_position,global_ls_account,buy_sell_ratio,closeprice,mark_closeprice,volume,number
0,1644138000,0,0,3405429193,0.8208,1.1369,0.7425,0.9695,41633.7,41635.01,416.858,4903.0
1,1644138300,0,0,3406238142,0.8202,1.1356,0.7406,1.3346,41610.47,41613.04,376.169,4710.0
2,1644138600,0,0,3406032997,0.8202,1.136,0.7406,0.8616,41609.0,41609.0,286.432,3697.0
3,1644138900,0,0,3406555377,0.8205,1.1364,0.7403,1.0224,41635.38,41640.84032283,412.14,4841.0
4,1644139200,0,0,3412156691,0.8218,1.1369,0.7403,0.5633,41590.92,41592.05,301.819,3896.0
5,1644139500,0,0,3410343176,0.8195,1.1371,0.7385,0.8625,41581.37,41583.57574591,242.97,3330.0
6,1644139800,0,0,3410103877,0.8198,1.1371,0.7388,1.6234,41611.37,41611.37,200.312,3316.0
7,1644140100,0,0,3413270994,0.8208,1.1365,0.7403,1.4666,41620.3,41620.3,255.071,3388.0
8,1644140400,2183,0,3412497509,0.8198,1.1369,0.7394,0.8332,41566.28,41574.93572543,257.154,3288.0
9,1644140700,0,0,3409011939,0.8212,1.1367,0.7403,2.7432,41615.56,41618.02392871,288.179,3064.0
10,1644141000,0,0,3415238137,0.8205,1.1368,0.74,0.6551,41593.5,41593.5,198.449,2835.0
11,1644141300,0,0,3414616209,0.8212,1.1369,0.7413,1.7684,41630.0,41633.41007613,411.773,4189.0
12,1644141600,0,0,3419714347,0.8192,1.1369,0.7397,1.7091,41668.03,41667.6,669.898,7154.0
13,1644141900,0,0,3425939573,0.8179,1.1373,0.7388,0.4993,41608.1,41612.03,508.113,5096.0
14,1644142200,0,0,3426302051,0.8172,1.1373,0.7376,1.2732,41648.18,41650.84644327,482.092,5189.0
15,1644142500,0,0,3432844937,0.8175,1.137,0.7376,1.0393,41659.98,41659.99,302.599,3512.0
16,1644142800,0,0,3435957084,0.8162,1.1369,0.737,1.3472,41609.65,41614.08315423,457.322,5533.0
17,1644143100,0,0,3436611127,0.8162,1.1378,0.7373,0.9015,41608.41,41610.24931795,414.796,4751.0
18,1644143400,0,0,3435894435,0.8182,1.1378,0.7391,0.6323,41544.64,41541.38,841.412,8593.0
19,1644143700,0,0,3425446280,0.8182,1.1383,0.7403,1.5169,41559.45,41568.54081071,435.018,5075.0
20,1644144000,0,0,3426776529,0.8228,1.138,0.7458,1.1456,41569.1,41568.102284,199.096,2957.0
21,1644144300,0,0,3427543723,0.8222,1.1377,0.7458,0.8339,41545.72,41544.8,427.063,4798.0
22,1644144600,0,0,3424876994,0.8215,1.1378,0.7443,2.1725,41550.8,41552.31145742,273.354,3485.0
23,1644144900,0,0,3425682213,0.8232,1.1381,0.747,2.7653,41570.0,41570.0,201.578,2837.0
24,1644145200,0,0,3428138848,0.8235,1.1384,0.7479,1.031,41553.01,41556.38210029,449.176,5196.0
25,1644145500,0,0,3425729947,0.8255,1.1388,0.7504,0.624,41499.55,41503.17,531.69,6761.0
26,1644145800,511,0,3423043310,0.8258,1.1388,0.7501,1.751,41518.75,41521.06272655,323.697,4302.0
27,1644146100,0,0,3424896415,0.8262,1.1393,0.7504,0.9987,41510.2,41513.79642531,286.729,3793.0
