,open_time,liquidation_long,liquidation_short,oi,top_ls_account,top_ls_position,global_ls_account,buy_sell_ratio,closeprice,mark_closeprice,volume,number
0,1641340800,658664,82936,3720316224,3.5475,1.1169,4.168,1.0396,46260.08,46264.73457,10377.581,97785
1,1641344400,124860,6048,3753766270,3.4366,1.1249,4.2798,0.8601,46112.1,46112.33167,6465.996,59739
2,1641348000,77433,0,3739573329,3.3821,1.1233,4.1733,1.2415,46291.45,46290,5215.84,49464
3,1641351600,429279,0,3758864373,3.3535,1.1183,4.16,1.0888,46409.76,46409.75,6754.71,67172
4,1641355200,0,0,3777538773,3.3234,1.1149,4.184,1.1144,46419,46412.22119,5266.075,50937
5,1641358800,0,24039,3793758306,3.279,1.1182,4.0916,0.7493,46302.72,46307.44377,4295.105,41204
6,1641362400,19458,0,3800892155,3.3066,1.1221,4.0839,1.1863,46454,46453.96,4495.17,41091
7,1641366000,17480,0,3805333132,3.2918,1.1281,4.0968,0.7947,46399.33,46399.27114,4233.442,43015
8,1641369600,321110,48683,3797029834,3.2644,1.1237,4.0277,1.115,46626.53,46628.35,8680.821,85830
9,1641373200,1460263,2670,3808509812,3.1477,1.124,3.9044,1.0484,46850.75,46850.57699,13807.524,141244
10,1641376800,147757,95121,3808117454,2.8081,1.1182,3.417,1.0022,46809.4,46811.06174,12596.823,129118
11,1641380400,0,962141,3794316672,2.6337,1.1263,3.09,0.8508,46271.93,46273.55968,19806.41,182874
12,1641384000,158967,642795,3747048531,2.9246,1.1363,3.4014,0.9559,46228.27,46231.44827,19082.758,180187
13,1641387600,99993,3150,3782113831,3.1824,1.1341,3.7393,1.0292,46429.36,46430.8,14635.57,132939
14,1641391200,780134,495343,3796044401,3.1649,1.1366,3.7348,1.026,46682.79,46712.79457,28802.675,249779
15,1641394800,286476,239927,3805776461,2.9386,1.135,3.4583,0.9525,46611.46,46611,18778.267,167371
16,1641398400,64127,507906,3780014831,2.8388,1.1415,3.2717,0.8906,46308.23,46301.86618,12251.662,112033
17,1641402000,278,814732,3757622255,2.9124,1.1369,3.3403,0.847,46007.99,46007.16562,12594.485,118342
18,1641405600,266625,2986489,3722847676,3.0502,1.1401,3.5188,0.9977,45922.29,45927.62842,40427.037,364564
19,1641409200,608934,4683722,3791267398,3.7371,1.1312,4.5188,0.7501,44673.22,44670.45,62937.664,531023
20,1641412800,924283,5323386,3653375031,3.5228,1.1098,3.9188,0.8993,43958.56,43973.28,65234.752,560027
21,1641416400,663180,1644788,3514638763,3.3879,1.1279,3.5537,0.9759,43604,43610.85873,30061.822,288689
22,1641420000,1401665,14174299,3498232647,3.3975,1.1293,3.4924,0.8438,43415.84,43408,58049.019,554242
23,1641423600,713028,639954,3361040550,3.5106,1.118,3.5746,1.016,43421.69,43395.7,20626.361,189512
24,1641427200,495895,186785,3377961950,3.5683,1.1026,3.7824,0.9349,43656,43652.8,16523.725,149561
25,1641430800,66132,262665,3383484250,3.3478,1.0754,3.9068,0.982,43525.91,43552.50353,10856.695,105662
26,1641434400,7625,331803,3379763774,3.3234,1.0715,3.8876,0.9019,43248.4,43249.76,12835.857,110876
27,1641438000,259,805208,3354540998,3.3384,1.0762,3.8473,0.8676,42817.38,42829.91929,15960.787,152370
28,1641441600,554562,878933,3340806280,3.2481,1.0775,3.6211,1.084,43007.21,43023.15324,23105.021,205818
29,1641445200,426908,134701,3346201636,3.2463,1.082,3.6275,0.9571,43038.12,43040.29278,12847.183,129530
30,1641448800,142954,124648,3346021526,3.3085,1.0844,3.7619,1.0482,43091.6,43083.26,9463.139,100462
31,1641452400,89144,2409,3370595064,3.3066,1.088,3.7824,1.1069,43222.22,43229.89728,8260.544,89440
32,1641456000,0,228388,3392183206,3.2974,1.0827,3.7664,0.9687,43050,43052.51996,10357.178,114637
33,1641459600,201564,3645512,3385606601,3.2863,1.0826,3.7416,0.8665,42591.58,42592.85,23680.075,228478
34,1641463200,500013,35848,3379219096,3.2772,1.0831,3.6339,1.0893,42874.38,42870.13,15070.974,152296
35,1641466800,10594,92899,3409815375,3.2517,1.0807,3.5914,1.0079,42865.15,42865.14,10169.934,107271
36,1641470400,326615,113329,3422277206,3.1597,1.0789,3.4444,1.0385,43047.4,43047.99,14109.144,136607
37,1641474000,753028,53933,3464359445,3.1511,1.0826,3.4623,0.9331,43123.15,43117.21348,13449.994,145405
38,1641477600,420094,611109,3479794720,3.1118,1.0973,3.4111,0.9419,42802.24,42792.02667,17893.438,175929
39,1641481200,150486,223915,3423447865,3.2141,1.1015,3.5809,1.119,42947.79,42944.55512,16507.19,157902
40,1641484800,114255,334146,3446744930,3.1876,1.1083,3.5372,0.8949,42878.24,42878.24,12659.744,118769
41,1641488400,163411,35997,3445863706,3.2248,1.104,3.5872,1.1094,42994.68,42998.99,10121.939,101278
42,1641492000,482783,15076,3439144229,3.1305,1.1066,3.4228,1.2989,43353.88,43344.31692,9777.476,102373
43,1641495600,367468,0,3453543666,3.1911,1.1012,3.5851,0.9322,43409.03,43409.03,9662.063,94745
44,1641499200,313446,320517,3440637440,3.2535,1.0944,3.6577,0.8854,43206.67,43207.84832,10734.654,112225
45,1641502800,0,80780,3411741652,3.2373,1.0965,3.6296,0.9843,43105.1,43113.55,6063.373,61975
46,1641506400,12008,126198,3414886720,3.2589,1.1005,3.6555,1.2873,43163.57,43163.713,5067.002,59889
47,1641510000,1081,1464,3414929440,3.2918,1.1025,3.7037,0.8904,43080.01,43080,4332.722,53574
48,1641513600,7913,882915,3416264205,3.3141,1.1022,3.7348,0.8499,42787.99,42786.0635,11015.952,111870
49,1641517200,65916,5351,3395831281,3.3937,1.0937,3.7574,1.0817,42988.26,42990.49644,7152.117,74965
50,1641520800,0,159240,3409736584,3.3995,1.0861,3.7801,0.7784,42795.77,42794.81,6078.19,63520
51,1641524400,180077,6915425,3388132124,3.4583,1.0871,3.8403,0.814,41789.97,41782.86,48253.516,414125
52,1641528000,881008,4032201,3346618812,3.344,1.0774,3.4425,0.9506,41680,41679.85,46655.815,392638
53,1641531600,525761,87339,3280399882,3.4209,1.0826,3.4563,1.0881,41835.97,41833.40027,17172.394,158527
54,1641535200,15642,639786,3293178732,3.3879,1.0754,3.4683,1.0211,41520,41523.71646,14161.703,137389
55,1641538800,723783,444844,3270188705,3.344,1.0824,3.3497,1.0966,41691.61,41696.41749,18990.127,175918
56,1641542400,2285199,385860,3287731330,3.3215,1.0888,3.3346,1.087,42089.3,42084.3515,31513.777,277182
57,1641546000,435301,54933,3275322223,3.2827,1.0842,3.3802,1.1456,42409,42408.99,13818.868,142049
58,1641549600,0,234134,3309973111,3.2176,1.0788,3.3783,0.9973,42167.9,42171.23831,9276.706,97472
59,1641553200,85,65211,3292891508,3.1186,1.0827,3.1859,1.258,42249.99,42252.33917,7178.342,79965
60,1641556800,176823,170,3317572801,3.1615,1.0873,3.2427,1.261,42393.02,42389.99,8189.847,92829
61,1641560400,722195,2080013,3361465038,3.1841,1.0885,3.2808,0.87,41471.53,41470,47310.472,439107
62,1641564000,1051311,115345,3241552190,3.4964,1.095,3.5872,1.0254,41876.11,41880,24776.73,248005
63,1641567600,266910,2536192,3287244541,3.417,1.0888,3.4903,0.8646,41297.41,41319.99,50819.748,437453
64,1641571200,1082464,630467,3239010053,3.6512,1.0859,3.7059,1.1558,42131.75,42170.90031,45492.052,395693
65,1641574800,136482,93711,3312993160,3.3309,1.0925,3.3879,0.8771,41978.79,41981.33009,15074.244,131581
66,1641578400,10376,399608,3277150871,3.1754,1.0925,3.0984,0.8213,41695.07,41695.07,9669.958,104567
67,1641582000,112568,24553,3229066399,3.1408,1.0949,3.0128,1.1844,41764.32,41759.99,8830.969,84721
68,1641585600,460783,189408,3236817952,3.1999,1.0946,3.09,1.1784,41910.96,41906.4,9747.325,98115
69,1641589200,0,15742,3240913497,3.1305,1.1031,3.0177,1.03,41862.38,41875.40383,5100.691,58127
70,1641592800,2326,1105661,3237084795,3.1563,1.1019,3.0112,0.8571,41522.5,41532.80612,8844.823,93057
71,1641596400,33799,9101,3185880591,3.2337,1.0994,3.08,1.0391,41553.86,41550.45,8090.483,78648
72,1641600000,623579,4696,3183081957,3.3197,1.0933,3.1667,1.2636,41992.23,41992.23,12540.427,113143
73,1641603600,222514,264984,3213437386,3.0388,1.1076,3.1477,0.9475,41880.01,41884,9231.727,94619
74,1641607200,2722,126906,3193386272,3.0193,1.1119,3.085,1.1891,41870.9,41873.25364,5571.36,60602
75,1641610800,17079,76326,3196558415,3.0683,1.1123,3.1442,1.0141,41796.03,41800.82,5722.809,60072
76,1641614400,83999,1211,3191778859,3.1135,1.1095,3.1841,1.0642,41880,41880,4375.199,53377
77,1641618000,0,0,3199960381,3.1271,1.1067,3.2283,1.0353,41954.47,41954.47,3298.084,50039
78,1641621600,377,40672,3209514018,3.1051,1.1065,3.2052,0.8751,41901.74,41903.31343,4874.094,59520
79,1641625200,12665,0,3207591287,3.122,1.1078,3.2212,1.0172,41902.21,41903.67,4309.627,57202
80,1641628800,221115,86557,3209146256,3.075,1.1081,3.1719,1.0246,41948.85,41946.28,10453.287,101466
81,1641632400,46500,0,3212243438,3.0371,1.1053,3.1667,1.2314,42138.03,42141.58,6467.429,75529
82,1641636000,76829,366547,3231466629,2.9984,1.1075,3.1135,0.8162,41907.21,41907.10784,8036.508,91868
83,1641639600,27507,134345,3201190985,3.0404,1.1088,3.1511,1.1798,41918.02,41918.10823,7681.058,79563
84,1641643200,66016,164099,3196469577,3.0766,1.1042,3.1684,0.9935,41851.23,41857.75992,7318.508,88667
85,1641646800,112831,173220,3201071101,3.0502,1.1014,3.1085,1.0175,41884.04,41885.37642,11089.646,108659
86,1641650400,0,49964,3218605394,2.962,1.1016,3,0.988,41737.01,41728.29392,6530.973,75619
87,1641654000,82005,396386,3209225149,2.9936,1.1043,3.0371,0.9341,41600.72,41605.61102,14603.817,158477
88,1641657600,38092,619385,3195339509,3.0984,1.1138,3.1511,0.8546,41342.06,41336.86,15210.929,149240
89,1641661200,134253,2227482,3165717119,3.1528,1.1182,3.1999,0.8998,40846.58,40818.82578,27318.713,267865
90,1641664800,774517,4743502,3143962367,3.2337,1.1196,3.2319,0.9545,40684.09,40681.27393,34629.473,334101
91,1641668400,377962,408990,3166774497,3.2753,1.1253,3.3271,1.0735,40837.51,40835.37168,23140.697,236175
92,1641672000,254079,37346,3220269816,3.3384,1.1306,3.3346,1.0894,40976.06,40956.80314,11810.106,128624
93,1641675600,2464277,68473,3238257217,3.3048,1.128,3.3975,1.244,41775.18,41786.9016,24629.943,227029
94,1641679200,1064589,103189,3242084188,3.042,1.1464,3.1771,1.0191,41912.88,41919.38278,17372.933,191204
95,1641682800,0,296244,3213844009,2.9463,1.1577,3.0193,0.9662,41688.05,41685.46233,7519.877,90108
96,1641686400,293954,483279,3184575193,2.9604,1.1673,2.9793,0.9854,41774.19,41768.27766,13511.695,133573
97,1641690000,80806,74471,3230874015,3.0883,1.1598,3.1859,1.0399,41800.81,41803.45409,7291.535,78218
98,1641693600,444035,378,3233170480,3.0683,1.1549,3.1736,1.0776,42090.34,42085.01,9139.648,93617
99,1641697200,0,118442,3239914242,2.9262,1.1521,3.0453,0.9368,41835.6,41835.6,6643.474,75042
100,1641700800,102519,0,3220286274,2.9002,1.1537,2.9746,0.9429,42065.29,42068.5843,5266.697,61095
101,1641704400,543,229471,3250098507,2.885,1.1477,2.9746,0.9358,41762.99,41760.58409,6680.998,73835
102,1641708000,67631,157442,3236054639,2.9355,1.1491,3.0064,0.8854,41866,41866.01,6302.003,66242
103,1641711600,0,0,3239272542,2.973,1.1459,3.0323,1.166,41784.63,41785.80632,3801.279,43364
104,1641715200,11458,169264,3235808225,2.9401,1.1438,2.9936,1.0224,41657.45,41657.47,7783.178,82927
105,1641718800,17497,428536,3228681250,2.9448,1.1401,2.9541,0.8771,41503.75,41510.52,8765.494,92573
106,1641722400,70502,91188,3221849263,2.962,1.1365,2.9588,1.0574,41636.97,41636.57,8336.186,88740
107,1641726000,543730,3292,3248658233,2.9936,1.1337,2.992,1.2719,41854.25,41865.80705,10074.896,100798
108,1641729600,50587,145496,3262766122,2.867,1.1344,2.8926,0.8717,41737.43,41737.51,6370.485,73007
109,1641733200,18660,503321,3241479689,2.8491,1.14,2.8565,0.8368,41467.75,41485.13323,10717.377,110739
110,1641736800,41382,23682,3224608116,2.9432,1.1414,2.951,1.1032,41530.99,41538.51467,7149.387,76671
111,1641740400,331596,547841,3245663910,2.9479,1.1362,2.9825,1.0258,41611.09,41617.54489,16499.325,153621
112,1641744000,543082,672,3243973883,2.9793,1.1407,3.0064,1.3804,42127.99,42123,13208.038,138831
113,1641747600,846431,176695,3273229762,2.7922,1.1302,2.8373,0.9452,42084.96,42072.09,13380.653,143039
114,1641751200,127786,80181,3273760569,2.6206,1.1425,2.6101,0.9905,41954.99,41955,9614.202,102436
115,1641754800,1556739,25728,3267044744,2.5804,1.1407,2.5791,1.3548,42678.95,42677.3532,18041.902,183838
116,1641758400,142226,314442,3317472284,2.6179,1.1381,2.7327,0.7826,42414.64,42426.52749,9534.155,106949
117,1641762000,297,278226,3292727041,2.5997,1.1358,2.6792,1.0084,42290.28,42293.85,4907.149,61633
118,1641765600,24814,343048,3286245341,2.6153,1.1389,2.6846,0.9242,42193.23,42192.94,6687.983,79338
119,1641769200,82493,794950,3251138596,2.6377,1.1423,2.7106,0.9106,41851.22,41850,13427.213,128921
120,1641772800,83133,277234,3187585853,2.7467,1.1407,2.8329,0.9648,41644.58,41644.59,12589.344,120927
121,1641776400,32113,120868,3177190039,2.8432,1.1305,2.9494,1.1436,41790.01,41792.27984,6626.966,71038
122,1641780000,121723,876,3181877083,2.888,1.1239,3.0209,1.0657,41905,41909.95989,6164.244,67004
123,1641783600,0,0,3198144849,2.8595,1.1186,3.0209,0.9222,41946.05,41956.00059,3683.3,47997
124,1641787200,230554,0,3207116056,2.8551,1.117,3.0128,1.2058,42164.36,42168.23793,8225.003,86653
125,1641790800,0,99525,3245302169,2.8256,1.1087,3.0355,0.8192,42006,42013.31606,5042.795,59925
126,1641794400,6972,196439,3225422185,2.8183,1.1086,3.008,1.138,41914.84,41917.47361,6812.524,70358
