,open_time,liquidation_long,liquidation_short,oi,top_ls_account,top_ls_position,global_ls_account,buy_sell_ratio,closeprice,mark_closeprice,volume,number
0,1644084000,0,0,3367955885,0.8847,1.1446,0.7765,1.0759,41598.33,41600.53993574,2249.746,26817.0
1,1644084900,721,933,3372152580,0.8808,1.1425,0.7712,1.3798,41659.81,41652.18,2512.609,28781.0
2,1644085800,10157,0,3375507537,0.8762,1.142,0.7658,0.7664,41661.84,41663.553192,2348.978,27675.0
3,1644086700,0,0,3372732959,0.8685,1.1445,0.7569,0.8706,41659.8,41661.99,1283.2,18345.0
4,1644087600,0,0,3372034730,0.8612,1.1453,0.7479,0.9346,41624.23,41627.59968373,1154.57,16117.0
5,1644088500,0,0,3373936020,0.8567,1.1468,0.7409,0.6269,41528.14,41531.72,1258.681,15695.0
6,1644089400,0,0,3361753304,0.8536,1.1461,0.7352,0.8244,41573.88,41576.57,1580.608,19749.0
7,1644090300,0,0,3370109121,0.8522,1.1459,0.7319,1.0515,41532.76,41535.06,860.654,12808.0
8,1644091200,0,87,3367533200,0.8536,1.1469,0.7319,0.8633,41446.55,41447.12327835,3105.084,34210.0
9,1644092100,0,2145,3363280161,0.8484,1.1434,0.7224,1.1431,41447.71,41450.85,1294.583,17060.0
10,1644093000,873,0,3359382397,0.8529,1.1423,0.7283,1.4336,41530.0,41536.99839867,895.409,12663.0
11,1644093900,0,0,3363569972,0.8567,1.1417,0.7337,1.3005,41631.01,41641.17,1980.621,19017.0
12,1644094800,47787,0,3384168808,0.858,1.1433,0.7379,1.2087,41700.29,41706.22265555,2199.039,23442.0
13,1644095700,95396,0,3398206339,0.8525,1.1437,0.7328,0.7039,41713.52,41714.22821501,1747.063,16785.0
14,1644096600,0,0,3411281043,0.8467,1.1447,0.7268,0.6192,41698.1,41698.67109608,1540.009,15413.0
15,1644097500,0,0,3411761751,0.8443,1.1448,0.7235,0.7811,41621.19,41633.15505114,912.613,12600.0
16,1644098400,89732,0,3407092167,0.845,1.1458,0.7241,1.2913,41713.71,41714.09,1440.898,18537.0
17,1644099300,5005,0,3415104073,0.8443,1.149,0.7229,1.2004,41685.34,41686.96,698.098,11473.0
18,1644100200,2618,2930,3412920253,0.845,1.1488,0.7238,0.5518,41610.82,41614.796973,677.801,10529.0
19,1644101100,4805,9960,3406628937,0.846,1.1488,0.7241,0.8562,41571.23,41571.81241539,1571.954,17062.0
20,1644102000,0,0,3399900584,0.8498,1.1479,0.7286,1.1517,41583.1,41583.1,1127.878,15202.0
21,1644102900,591,699,3398121282,0.8403,1.1479,0.7247,0.5499,41500.07,41506.27,1280.913,14379.0
22,1644103800,1120,62,3383405390,0.8426,1.1467,0.7262,0.8939,41503.99,41500.61,1677.342,18887.0
23,1644104700,0,0,3376088692,0.8491,1.1442,0.7325,0.9162,41374.69,41376.34416454,2690.325,26825.0
24,1644105600,0,0,3362125625,0.8495,1.1535,0.7316,1.2225,41434.79,41439.20128211,1000.147,14889.0
25,1644106500,0,0,3369455726,0.8212,1.122,0.7413,1.1114,41396.72,41400.0,1540.45,16212.0
26,1644107400,0,0,3360496208,0.8242,1.1251,0.7461,0.7222,41407.43,41410.08,1408.231,14863.0
27,1644108300,112,4,3359918206,0.8288,1.1244,0.7476,2.0718,41462.87,41464.21141907,1348.445,13939.0
28,1644109200,10753,0,3358569819,0.8295,1.127,0.7516,1.7324,41578.25,41579.64905356,1269.556,14070.0
29,1644110100,0,0,3372411448,0.8339,1.126,0.759,0.6092,41541.99,41541.99,949.935,11134.0
30,1644111000,0,0,3364193938,0.8328,1.126,0.7562,0.7802,41527.64,41527.63,686.644,9142.0
31,1644111900,0,0,3363321176,0.8322,1.1266,0.7547,1.3491,41591.71,41592.6,1087.301,13166.0
32,1644112800,0,154,3365536311,0.8322,1.128,0.7559,1.0448,41595.57,41595.56,617.684,9327.0
33,1644113700,0,0,3364257753,0.8352,1.1271,0.7587,0.8152,41555.37,41553.63947576,599.332,8920.0
34,1644114600,0,0,3359788355,0.8352,1.1279,0.7581,0.8086,41493.87,41496.61,868.837,11333.0
35,1644115500,0,0,3356602771,0.8325,1.1283,0.7541,0.8855,41517.18,41518.67167711,899.95,11968.0
36,1644116400,0,0,3359454717,0.8365,1.129,0.7565,0.8438,41457.32,41457.32,781.276,9883.0
37,1644117300,4,0,3354816960,0.8335,1.1294,0.7553,1.0967,41491.24,41490.82363038,1050.961,9684.0
38,1644118200,0,0,3354425920,0.8359,1.1269,0.7572,1.1584,41530.39,41532.05411161,566.226,7741.0
39,1644119100,0,0,3357873885,0.8362,1.1267,0.7578,0.8881,41429.06,41430.03435376,902.353,10023.0
40,1644120000,0,285,3347179001,0.8416,1.1273,0.7637,0.7013,41358.44,41359.27,1959.347,22515.0
41,1644120900,0,0,3349401476,0.8447,1.1286,0.7668,1.5234,41485.39,41486.28,2312.617,24168.0
42,1644121800,0,0,3366672726,0.8386,1.13,0.7606,0.7695,41484.82,41488.51238023,1337.075,14075.0
43,1644122700,0,0,3357694390,0.8392,1.1298,0.7599,0.7616,41522.43,41524.93605683,796.153,9564.0
44,1644123600,0,0,3358885347,0.8376,1.1283,0.7581,0.6054,41470.0,41476.74089287,803.177,9401.0
45,1644124500,0,0,3351913526,0.8349,1.1283,0.7535,1.3498,41553.1,41554.95,749.546,10352.0
46,1644125400,0,0,3359213978,0.8315,1.1278,0.751,1.1673,41566.93,41563.51,772.855,9348.0
47,1644126300,0,0,3364302520,0.8305,1.1292,0.7498,0.9792,41558.58,41566.20898763,690.677,8182.0
48,1644127200,0,0,3365413182,0.8285,1.1292,0.747,0.652,41476.88,41476.87,782.066,11352.0
49,1644128100,0,0,3356609525,0.8282,1.1296,0.7452,1.3484,41521.14,41529.77268373,1131.388,13570.0
50,1644129000,0,0,3361659552,0.8258,1.1298,0.7425,0.9763,41481.85,41481.84,696.544,9663.0
51,1644129900,0,41,3359827563,0.8248,1.1302,0.7419,1.0485,41441.96,41445.15546783,1216.404,15030.0
52,1644130800,0,0,3358409410,0.8292,1.1301,0.7479,1.2032,41469.88,41470.69353909,850.582,12029.0
53,1644131700,0,0,3360382200,0.8342,1.1307,0.7535,0.6779,41400.3,41406.79796887,766.655,9469.0
